fk_name	schema_name	table	column	referenced_table	referenced_column
FK_ASTG_DO_ACCTG_DATA__ASTG_DO_HDR	dbo	ASTG_DO_ACCTG_DATA	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_DO_ACCTG_DATA__ASTG_DO_HDR	dbo	ASTG_DO_ACCTG_DATA	TIER	ASTG_DO_HDR	TIER
FK_ASTG_DO_ACCTG_DATA__ASTG_DO_HDR	dbo	ASTG_DO_ACCTG_DATA	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_CI_LINK__ASTG_DO_HDR	dbo	ASTG_CI_LINK	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_CI_LINK__ASTG_DO_HDR	dbo	ASTG_CI_LINK	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_CI_LINK__ASTG_DO_HDR	dbo	ASTG_CI_LINK	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_CI_LINK__ASTG_DO_HDR	dbo	ASTG_CI_LINK	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_CI_LINK__ASTG_DO_HDR	dbo	ASTG_CI_LINK	TIER	ASTG_DO_HDR	TIER
FK_ASTG_MI_LINK_EFF_DT__ASTG_DO_HDR	dbo	ASTG_MI_LINK_EFF_DT	OPER_BUS_SEG_CD	ASTG_DO_HDR	OPER_BUS_SEG_CD
FK_ASTG_MI_LINK_EFF_DT__ASTG_DO_HDR	dbo	ASTG_MI_LINK_EFF_DT	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_MI_LINK_EFF_DT__ASTG_DO_HDR	dbo	ASTG_MI_LINK_EFF_DT	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
FK_ASTG_MI_LINK_EFF_DT__ASTG_DO_HDR	dbo	ASTG_MI_LINK_EFF_DT	DO_MAJ_PROD_CD	ASTG_DO_HDR	DO_MAJ_PROD_CD
FK_ASTG_MI_LINK_EFF_DT__ASTG_DO_HDR	dbo	ASTG_MI_LINK_EFF_DT	TIER	ASTG_DO_HDR	TIER
FK_ASTG_DO_DETAIL__ASTG_DO_HDR	dbo	ASTG_DO_DETAIL	PROP_NO	ASTG_DO_HDR	PROP_NO
FK_ASTG_DO_DETAIL__ASTG_DO_HDR	dbo	ASTG_DO_DETAIL	DO_TYPE_CD	ASTG_DO_HDR	DO_TYPE_CD
